setting,run_dir,variant,success_rate,mean_score,order_violation_rate,missing_required_agent_rate,recovery_success_rate,memory_changed_scheduling_decisions,support_only_count,changed_agent_selection_count,changed_ordering_count,changed_recovery_count,retrieved_count,eligible_count,blocked_count,schema_valid_rate,parse_failure_rate,repair_success_rate,invalid_artifact_ref_rate,memory_validation_failure_rate,unsupported_lesson_rate,overgeneralized_memory_rate,curator_accept_rate,curator_reject_rate
normal_hard_synthetic,experiments\robustness_normal,mas_no_memory,0.33,0.506,0.715,0.14,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_hard_synthetic,experiments\robustness_normal,mas_orchestrator_memory,0.46,0.621,0.445,0.113,0.0,78,428,75,0,3,506,506,0,1.0,0.0,0.0,0.0,0.22,0.22,0.0,0.45,0.55
normal_hard_synthetic,experiments\robustness_normal,mas_shuffled_memory,0.41,0.623,0.465,0.143,0.0,37,154,37,0,0,518,191,327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_hard_synthetic,experiments\robustness_normal,mas_random_memory,0.41,0.623,0.465,0.143,0.0,37,154,37,0,0,518,191,327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_malformed_json,experiments\robustness_noise_malformed_json,mas_no_memory,0.33,0.62,0.715,0.14,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_malformed_json,experiments\robustness_noise_malformed_json,mas_orchestrator_memory,0.7,0.795,0.325,0.113,0.0,85,340,85,0,0,425,425,0,1.0,1.0,1.0,0.0,0.81,0.28,0.0,0.09,0.91
llm_noise_malformed_json,experiments\robustness_noise_malformed_json,mas_shuffled_memory,0.58,0.745,0.465,0.14,0.0,25,100,25,0,0,335,125,210,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_malformed_json,experiments\robustness_noise_malformed_json,mas_random_memory,0.58,0.745,0.465,0.14,0.0,25,100,25,0,0,335,125,210,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_missing_fields,experiments\robustness_noise_missing_fields,mas_no_memory,0.0,0.0,0.0,0.393,0.84,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_missing_fields,experiments\robustness_noise_missing_fields,mas_orchestrator_memory,0.0,0.0,0.0,0.393,0.84,236,1084,128,0,108,1320,1320,0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.08,0.92
llm_noise_missing_fields,experiments\robustness_noise_missing_fields,mas_shuffled_memory,0.0,0.0,0.0,0.393,0.84,75,675,75,0,0,2010,750,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_missing_fields,experiments\robustness_noise_missing_fields,mas_random_memory,0.0,0.0,0.0,0.393,0.84,75,675,75,0,0,2010,750,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_hallucinated_artifact_ref,experiments\robustness_noise_hallucinated_artifact_ref,mas_no_memory,0.0,0.0,0.0,0.393,0.84,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
llm_noise_hallucinated_artifact_ref,experiments\robustness_noise_hallucinated_artifact_ref,mas_orchestrator_memory,0.0,0.0,0.0,0.393,0.84,236,1084,128,0,108,1320,1320,0,0.0,0.0,0.0,1.0,0.36,0.36,0.0,0.08,0.92
llm_noise_hallucinated_artifact_ref,experiments\robustness_noise_hallucinated_artifact_ref,mas_shuffled_memory,0.0,0.0,0.0,0.393,0.84,75,675,75,0,0,2010,750,1260,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
llm_noise_hallucinated_artifact_ref,experiments\robustness_noise_hallucinated_artifact_ref,mas_random_memory,0.0,0.0,0.0,0.393,0.84,75,675,75,0,0,2010,750,1260,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
llm_noise_overgeneralized_lesson,experiments\robustness_noise_overgeneralized_lesson,mas_no_memory,0.33,0.62,0.715,0.14,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_overgeneralized_lesson,experiments\robustness_noise_overgeneralized_lesson,mas_orchestrator_memory,0.7,0.795,0.325,0.113,0.0,85,340,85,0,0,425,425,0,1.0,0.0,0.0,0.0,0.28,0.28,0.0,0.62,0.38
llm_noise_overgeneralized_lesson,experiments\robustness_noise_overgeneralized_lesson,mas_shuffled_memory,0.58,0.745,0.465,0.14,0.0,25,100,25,0,0,335,125,210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_noise_overgeneralized_lesson,experiments\robustness_noise_overgeneralized_lesson,mas_random_memory,0.58,0.745,0.465,0.14,0.0,25,100,25,0,0,335,125,210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
